"year","month","dayofmonth","arrdelay_mean","depdelay_mean","n","date"
2008,3,25,8.21696459866807,10.4922461230615,20302,2008-03-25
2008,3,26,2.31804327187328,5.53953674121406,20584,2008-03-26
2008,3,27,11.3761564234635,12.0285157810627,20721,2008-03-27
2008,3,28,12.0308269212039,12.938704028021,20756,2008-03-28
2008,3,29,4.81611136999068,7.61424332344214,17298,2008-03-29
2008,3,30,17.2742690666944,16.2221471978393,19555,2008-03-30
2008,3,31,27.7423196851199,24.8907426246185,20639,2008-03-31
2008,4,1,15.4793710183032,15.4266686847283,20255,2008-04-01
2008,4,2,3.43874237354851,5.25788852845768,20520,2008-04-02
2008,4,3,9.72396394631136,8.99809458667188,20684,2008-04-03
2008,4,4,30.7566336237108,27.0538707102953,20734,2008-04-04
2008,4,5,7.72772890961686,10.1091487107029,17183,2008-04-05
